tigal,tech,Tech pt,Description en,Descrição pt,Proximus,Photo URL,photo,review,Money,C-EdTech,C-Google,C-2015,Telecom
,Biometric sensors,Sensores Biométricos,"The use of biometrics to telecommunications and telecommunications for remote biometric sensing. Potential applications include monitoring blood levels, infections and efficacy of vaccine.","Transmitem dados do corpo para dispositivos. Aplicações potenciais incluem monitorar níveis de substâncias no sangue, infecções e eficácia de vacinas.",,https://www.dropbox.com/s/zvu0ghmk2ky8xyt/Biometric%20sensors.jpg?dl=1,ok,ok,ok,ok,,,ok
,Biometric wallets,Carteiras Biométricas,"Biometrics, such as fingerprints, used to identify the user and authorize the deduction of funds from a bank account.","Sensores biométricos, como impressões digitais, usados para indentificar o usuário e autorizar a dedução de fundos de uma conta bancária. ",,https://www.dropbox.com/s/397kr194fd7wss6/Carteiras%20biom%C3%A9tricas.jpg?dl=1,ok,ok,ok,,,,
,Bionic implants,Implantes Biônicos,"Microscopic technological structures that extract biometric information from an organism to analyze its performance and improve specific biological functions with assisted feedback. In terms of personal biometry, bionic implants represent great tools to empower preventive medicine and develop customized solutions for specific organisms and diseases.",Estruturas microscópicas que extraem informações biométricas de um organismo para analisar seu desempenho e melhorar funções específicas por meio de feedbacks assistidos. Podem viabilizar ações de medicina preventiva e desenvolver soluções personalizadas para organismos e doenças.,,https://www.dropbox.com/s/yvzhpefzk1myns1/Bionic%20Implants.jpg?dl=1,ok,ok,,ok,,,
,Bioprinting,Bioimpressora,Create human tissue for a patient with their own cells that could be transplanted.,Cria tecido humano para um paciente com suas próprias células.,,https://www.dropbox.com/s/7itqlh30uku01i4/Bioprinting.jpg?dl=1,,ok,,,1,,
,Blockchain,Blockchain,,,,http://media.coindesk.com/2014/05/shutterstock_147144224.jpg,,,,,,,
,Bloodstream nanobot,Nanobots No Sangue,Intervene even before the disease appears. Nanorobots called respirocytes could be used to keep a patient’s tissues safely oxygenated for up to about four hours after the patient had a heart attack; or serve as white blood cells; remove platelets or repair damaged cells.,Intervêm mesmo antes do aparecimento da doença. Nanorobôs chamados respirócitos poderiam ser usados para manter os tecidos do paciente oxigenados durante até cerca de quatro horas após o um ataque cardíaco; ou servirem como glóbulos brancos; removendo plaquetas ou células de reparação danificada.,,https://www.dropbox.com/s/fpi605vujdmacac/Nanorobots%20in%20Blood.jpg?dl=1,ok,,,,,,
,Bluetooth Low Energy,,"Aims at novel applications in the healthcare, fitness, security, and home entertainment industries. Compared to ""Classic"" Bluetooth, BLE is intended to provide considerably reduced power consumption and lower cost, while maintaining a similar communication range.",,,,,,,,,,ok
,Body-adapted wearable electronic,,"Whether worn on the body, embedded in clothes or even under the skin, these devices can track information, such as heart rate and stress levels, giving people real-time feedback about their health.",,,https://www.dropbox.com/s/3j6emsvwn7pbdgn/Body-Adapted-Wearable-Electronics.jpg?dl=1,ok,,,,,,ok
,Botsourcing,Botsourcing,The assignment of physical and online tasks traditionally performed by human agents to an autonomous software agent.,"Atribuição de tarefas (físicas ou digitais), naturalmente realizadas por humanos, para um agente de software autônomo.",,https://www.dropbox.com/s/fagm0f3j67u8fyg/Botsourcing.jpg?dl=1,ok,ok,,,,,
,Brain mapping,Mapeamento Cerebral,"A new map, a decade in the works, shows structures of the brain in far greater detail than ever before, providing neuroscientists with a guide to its immense complexity.","Um novo mapa, criado após uma década de trabalho, mostra estruturas do cérebro com muito mais detalhes do que se conhecia antes, fornecendo aos neurocientistas um guia de imensa complexidade.",,https://www.dropbox.com/s/wglbq3d7ly4q9ry/Brain%20Mapping.jpg?dl=1,ok,ok,,,,,
,Brain-computer interface,Interfaces Cérebro-Computador,"Interfaces used for assisting, augmenting, or repairing human cognitive or sensory-motor functions and communicate thoughts and intentions to the internet.","Interfaces usadas para ajudar, aumentar e reparar funções congnitivas ou motoras humanas e comunicar pensamentos e intenções pela internet.",,https://www.dropbox.com/s/g1empap9fv4p5vt/Brain-computer%20interfaces.jpg?dl=1,ok,ok,,,1,,
,Brain-to-brain interface,Interfaces Cérebro-Cérebro,Telepathy.,Telepatia.,,https://www.dropbox.com/s/6hmtf66ar7pqebq/Brain-to-Brain%20Interfaces.jpg?dl=1,ok,ok,,ok,,,
,Cancer imaging glasses,Óculos Detectores De Câncer,"Helps surgeons visualize cancer cells during surgeries, which glow when viewed through the eyewear.",Ajudam cirurgiões a visualizar células cancerígenas durante cirurgias ao mostrá-las fluorecentes.,,https://www.dropbox.com/s/x7i6uhk3gz06wao/Cancer%20Imaging%20Glasses.jpg?dl=1,ok,ok,,,,,
,Capacitive micromachined ultrasonic transducer,Transdutores Ultrasónico Capacitivos Micromecanizados,"A relatively new concept in the field of ultrasonic transducers where the energy transduction is due to change in capacitance. Can be used to remotely improve alertness, awareness in soldiers, etc.","É um novo tipo de transdutores ultra-sônicos, onde a transdução de energia é possivel mediante uma mudança em capacitância. Pode ser utilizado para melhorar, de forma remota, o estado de alerta de uma pessoa.",,,,ok,,,,,
,Carbon nanotubes,Nanotubos De Carbono,"Molecular-scale tubes of graphitic carbon, they are among the stiffest and strongest fibres known.",Tubos de tamanho molecular de carbono grafite. Estão entre as fibras mais fortes e pequenas conhecidas até agora.,,https://www.dropbox.com/s/dehqkm0rtlofd9n/Carbon%20nanotubes.jpg?dl=1,ok,ok,,,,,
,Carbon sequestration,Captura De Gás Carbônico,Long-term storage of carbon dioxide or other forms of carbon to either mitigate or defer global warming.,"Armazenamento de longo prazo de dióxido de carbono ou outras formas de carbono, utilizado para mitigar ou adiar o aquecimento global.",,https://www.dropbox.com/s/h7ksmde5iwwxxaw/Carbon%20sequestration.jpg?dl=1,ok,ok,,,,,
,Carbyne,Carbyne,"Is a super-material with twice the tensile strength of its predecessor graphene, and three times the tensile stiffness of diamond.","É um super-material com o dobro da resistência comparado com seu antecessor, o grafeno, e três vezes a rigidez em relação ao diamante.",,http://www.azom.com/images/Article_Images/ImageForArticle_9870(1).jpg,ok,ok,,,,,
,Career matchmaking,Career Matchmaking,"Allow workers to paint a more accurate picture of their professional skill sets and personal interests, allowing employers and like minded collaborators to identify and partner with them more quickly. ","Permite um retrato mais exato de habilidades profissionais e interesses pessoais, permitindo que empregadores e colaboradores de pensamento similar se identifiquem mais rapidamente.",,https://www.dropbox.com/s/hj3954697ay85rc/Career%20Matchmaking.jpg?dl=1,ok,ok,,,1,,
,Centimeter-scale global positioning,Gps De Escala Milimétrica E Centimétrica,"User to locate millimeter-scale objects on people, surfaces and environments.","Utilizado para localizar objetos de escala milimétrica em pessoas, superfícies, ambientes, ruas e avenidas.",,https://www.dropbox.com/s/9orjuwoh35p989d/Centimeter-Scale%20Global%20Positioning.jpg?dl=1,ok,ok,,,,,
,Chromosome chip,Chip Cromossômico,"Matchbox-size device uses tiny valves, channels, and chambers to separate the 23 pairs of chromosomes in the human genome so they can be analyzed individually.","Dispositivo do tamanho de uma caixa de fósforos que usa válvulas pequenas, canais e câmaras para separar os 23 pares de cromossomos do genoma humano para que possam ser analisadas individualmente.",,https://www.dropbox.com/s/2xfemprmxhnsaqc/Chromosome%20chip.jpg?dl=1,ok,ok,,,,,
,City-wide transport logistics platforms,,"Application that allow individuals to coordinate and combine the use of various public transportation options based on weather conditions, price, and destination.",,,https://www.dropbox.com/s/qfdmng7sk9roh8x/City-wide%20transport%20logistics%20platforms.jpg?dl=1,ok,,,,,,
,Climate engineering,Engenharia Climática,Deliberately manipulating the Earth's climate to counteract the effects of global warming from greenhouse gas emissions.,Contra-ataca os efeitos do aquecimento global ao manipular gases do efeito estufa e o clima na Terra.,,https://www.dropbox.com/s/k58vhppp7k9pbab/Climate%20Engineering.jpg?dl=1,ok,ok,,,,,
,Closed ecological systems,Sistemas Ecológicos Fechados,"Ecosystems that do not rely on matter exchange outside the system, transforming waste products into oxygen, food and water in order to support life-forms inhabiting the system.","Ecossistemas que não dependem da troca de matéria de fora do sistema, transformando resíduos em oxigênio, alimentos e água, a fim de apoiar as formas de vida que habitam no sistema.",,https://www.dropbox.com/s/x8qw9g8zcpox8as/Closed%20ecological%20systems.jpeg?dl=1,ok,ok,,,,,
,Clothes printer,Impressora De Roupas,On demand clothing with personalized adjusts for each individual using open-source design.,"Roupas feitas sob demanda, com ajustes personalizados para cada pessoa e com design de código aberto.",,http://o.aolcdn.com/hss/storage/adam/212b60b1a8e2ea1f3a0290479ddbf5e/openknit.jpg,ok,ok,,,,,
,Clothes-embedded sensors,Sensores Acoplados À Vestimenta,"Enables tracking of activity, biometrics and ambient data.","Permitem o rastreamento de atividades, biometrias e dados ambientes captados pelas roupas ou acessórios de um indivíduo.",,https://www.dropbox.com/s/rx06xr2tqjlmyun/Clothes-embedded%20sensors.jpg?dl=1,ok,ok,,ok,1,,
,Cloud apps,Programas Baseados Na Nuvem ,Allow users to collaborate on a wide array of projects ranging from simple document building to sophisticated engineering schematics that need input from a massive number of people.,Permite que vários usuários colaborarem simultaneamente em uma ampla gama de projetos que vão desde a simples construção de documento a sofisticados esquemas de engenharia.,,https://www.dropbox.com/s/xk54zfvm0y4nyjm/Cloud%20Computing.jpg?dl=1,ok,ok,ok,ok,,,
,Cloud computing,Cloud Computing,"Delivery of computing as a service rather than a product, whereby shared resources, software, and information are provided to computers and other devices as a utility over a network.","A utilização de computação como um serviço e não como um produto, pelo qual os recursos são compartilhados, software e informações são fornecidos como uma utilidade, atraves de uma rede, para computadores e outros dispositivos.",ok,http://rack.0.mshcdn.com/media/ZgkyMDE0LzA0LzAxLzZlL0Nsb3VkQ29tcHV0LjgyODIxLmpwZwpwCXRodW1iCTk1MHg1MzQjCmUJanBn/84000dec/f8e/Cloud-Computing.jpg,ok,ok,,ok,,,ok
,Cloud Mobile Network,,"Gives operators the ability to offer granular and flexible, user-customizable services. Users may select and change mobile voice, text, and data services, as well as manage devices, plan sharing and permissions, directly from smart devices at any time.

",,ok,,,,,,,,ok
,Cloud robotics,Robôs Na Nuvem,"Allows robots to benefit from the powerful computational, storage, and communications resources of modern data centers.","Permite que robôs se beneficiem do imenso poder de computação, armazenamento e comunicação da nuvem. ",,https://pbs.twimg.com/media/B09seCyCIAAcxe-.jpg:large,ok,,,,1,,
,Cloud-based education,,,,ok,https://www.dropbox.com/s/acy1xt7i4ccu78i/cloud_city.jpeg?dl=1,,,,ok,,,ok
,Cloudsourcing,Cloudsourcing,Involves outsourcing tasks to a distributed group of people and/or AI agents.,Terceiriza tarefas para um grupo distribuído de pessoas e/ou dispositivos de inteligência artificial.,ok,https://www.dropbox.com/s/zoils8jmfs0pxgu/cloudsourcing.jpg?dl=1,ok,ok,,ok,,,ok
,Cognitive systems,Sistemas Cognitivos,"Computer chips that it behave like human brains. Makes computers aware of themselves, aware of objects and information and levels of physical and virtual reality around them. ","Diferem-se de chips de computadores normais ao se comportarem mais como cérebros humanos. Esses sistemas fazem com que computadores sejam mais concientes de si mesmos, de objetos ao entorno tanto nos níveis físicos quanto virtuais.",,https://trello-attachments.s3.amazonaws.com/5446c9868e2e6a8c93b9ce00/568x426/6aae165182004ca951715373a039d39f/Psychology-Of-The-Brain.jpg,,,,,,,
,Computerized adaptive testing,,Adaptive computer-based testing will slowly replace one-size-fits-all assessment of academic proficiency.,,,,,,,ok,,,
,Consumer Robotics,,"Robotic technology products
purchased by individual buyers or families and used to educate,
entertain, or assist in the home.",,ok,,,,,,,,ok
,Content producing software,Software Redator,Software that captures the data and reformat it into articles. Growing interest in machine learning and natural language processing will inevitably mean that the quality of bot-generated content will dramatically increase.,Captura dados e os reformata em artigos. O interesse crescente em máquinas que aprendem sozinhas e no processamento de linguagem de maneira natural prevê uma significativa melhoria dessa tecnologia.,,https://www.dropbox.com/s/txy4oxcv8pebyxv/Content%20Producing%20Software.jpg?dl=1,ok,ok,,ok,,,
,Context-aware computing,Computação Sensível Ao Contexto,Computers that can both sense and react to their environment.,Computadores que podem sentir e reagir ao ambiente.,,https://www.dropbox.com/s/qw9nrznng41jjsd/Context-aware%20computing.jpg?dl=1,ok,ok,,ok,,,
,Contextual Support,Suporte Contextual,"It delivers relevant information to shoppers when/where it’s needed most, respecting the shoppers’ willingness to engage by not interrupting their shopping trip with messaging that distracts from their experience.",Providencia informações relevantes quando e onde se é necessário. Diminuindo a quantidade de spam nos caminhos de comunicação de marcas e criando relações mais fortes entre elas e consumidores.,,https://www.dropbox.com/s/opssby9hpfk8jyx/Contextual%20Support.jpg?dl=1,ok,ok,ok,,,,
,Controlled self-assembly,Automontagem Controlada,"Machines that manipulate individual atoms with organism-like self-replicating abilities. These bottom-up, atomically precise 3D printers would be able to carefully create sequences of DNA, RNA or protein.","Máquinas que manipulam átomos individuais com habilidades autorreplicadoras similares às de um organismo vivo. Essas impressoras 3D de precisão atômica serão capazes de criar cuidadosamente sequências de DNA, RNA ou proteínas.",,http://www.socwall.com/images/wallpapers/36334-1280x1024.jpg,ok,ok,,,1,,
,Conversational interfaces,Interfaces Conversacionais,"Program able to teach itself, giving it almost limitless capabilities. In time, it will be able to use your personal preferences and a near-infinite web of connections to answer almost any query and perform almost any function.","Programa apto a se auto ensinar, o que o dá capacidades quase ilimitadas. Com o tempo, ele será capaz de usar suas preferências pessoais e quase infinitas conexões na web para responder quase qualquer questão e executar quase qualquer função.",,https://www.dropbox.com/s/kboydlqrewqb1g8/Conversational%20interfaces.jpg?dl=1,ok,,,ok,,,
,Crop sensors,Sensores Para Plantação,"Instead of prescribing field fertilization before application, high-resolution crop sensors inform application equipment of correct amounts needed. Optical sensors or drones are able to identify crop health across the field (for example, by using infrared light).",Sensores ópticos ou drones que informam aos equipamentos as quantidades exatas necessárias de fertilizantes e pesticidas. ,,,ok,ok,,,,,
,Crowdfunding,,Draws on the power of crowds and networks to solicit investments for particular projects.,,,http://rack.2.mshcdn.com/media/ZgkyMDEzLzA1LzI4Lzc1L0tpY2tzdGFydGVyLjZlZmU4LmpwZwpwCXRodW1iCTk1MHg1MzQjCmUJanBn/c3f4aa98/fc9/Kickstarter-100k.jpg,,,ok,,,,
,Cubesats,Cubesat,"Type of miniaturized satellite for space research that usually has a volume of one liter, has a mass of  1.33 kg and typically uses commercial off-the-shelf components for its electronics.","Tipo de satélite em miniatura usado para pesquisa no espaço que normalmente tem volume de 1L, peso de 1,33kg e tipicamente usa componentes comercializados ""pronto para uso"" em seus eletronicos",,https://www.dropbox.com/s/apw588j4f6k8rf6/Cubesats.jpg?dl=1,ok,ok,,,,,
,Cybathlon,Cybathlon,"Unlike the Olympics, where athletes can use prosthetics only to make themselves as good as able-bodied athletes and not better, Cybathlon competitors are encouraged to use the best technology.","Diferentemente das Olimpíadas, nas quais atletas podem usar próteses apenas para se igualar às qualidades de um corpo humano regular e não melhor, na Cybathlon os competidores são encorajados a usar as melhores tecnologias. ",,https://www.dropbox.com/s/1u7yxmjmxzqg7q1/Cybathlon.jpg?dl=1,ok,,,,,,
,Cyberwar,Cyberwar,"Cyberwar is a conflict that doesn't accur with fisical weapons, but throug digital confrotation and invasion of private networks.","Cyberwar é um conflito que não acontece com armas fisicas, mas através de confrontos digitais e invasão de redes privadas.",,https://www.dropbox.com/s/g7ro1mugt89n0dc/Cyberwar.jpg?dl=1,ok,ok,,,,,
,CycloCable,CycloCable,Bicycle lift that pushes cyclists uphill in urban areas.,"""Elevador de bicicletas"" que empurra ciclistas para cima em áreas de declives.",,http://assets7.thrillist.com/v1/image/1269440/size/tmg-article_main_wide_2x,,,,,,,
,Darwikianism,,"Survival of the fittest content on the web – which can give us all an insight into how knowledge is created, shared and the nature of knowledge itself",,,,,,,,,,
,Data trading,Data Trading,"Exchange of data about impulses, motivations and feedback of shopping with consumers.","Troca de dados sobre impulsos, motivações e feedback de compras com consumidores.",,https://www.dropbox.com/s/mfoevjskoam1omo/Data%20Trading.jpg?dl=1,ok,ok,,,,,
,Data-driven diagnostics,Diagnóticos Orientados Por Dados,"Progress in an activity compelled by previous data, rather than by intuition or personal experience.","Progresso e decisão em uma atividade compelido por informações anteriores, ao vez de por intuição ou experiência pessoal.",,https://www.dropbox.com/s/bigcor46srme8q8/Data-driven%20diagnostics.jpg?dl=1,ok,ok,,ok,,,
,Data-driven regulation,Regulamentação Orientada À Dados (Data-Driven),"Progress in an activity is compelled by data, rather than by intuition or personal experience.","O progresso em uma atividade é regulado pelos dados , ao invés de pura intuição ou experiência pessoal.",,https://www.dropbox.com/s/4hd707xt4z7l8ds/Data-driven%20regulation.jpg?dl=1,ok,ok,ok,,,,
,Deep brain stimulation,Estimulação Cerebral Profunda,"Surgical treatment involving the implantation of a brain pacemaker, which sends electrical impulses to specific parts of the brain. Provides therapeutic benefits for otherwise-treatment-resistant movement and affective disorders such as Parkinson's.","Tratamento cirúrgico que envolve a implantação de um marcapasso cerebral, que envia impulsos elétricos para algumas partes específicas do cérebro. Fornece benefícios terapêuticos para os movimentos, muitos deles resistentes a outros tratamentos, e transtornos afetivos, como o Parkinson.",,https://www.dropbox.com/s/1x5mweru426vmkc/Deep%20Brain%20Stimulation.jpg?dl=1,ok,ok,,,,,
,Deep learning,Movimento Deep Learning,An AI trend that aims to more closely mimic the way the brain works by creating neural networks. It's using everything from speech recognition and language translation to computer vision to create smarter devices and softwares.,"Tendência em IA que visa imitar a forma como o cérebro funciona através da criação de redes neurais. Permite softwares como os de tradução simultânea, reconhecimento de voz e agentes pessoais muito mais inteligentes.",,https://www.dropbox.com/s/coyk0zibexzjpvx/Deep%20Learning%20Movement.jpg?dl=1,ok,ok,ok,ok,1,,ok
,Deliverbots,Robôs De Entrega,"Robot vehicle meant to carry cargo, not people. Could range from very small (and light) robots the size of a suitcase to full-sized trucks ready to haul heavy cargo. ","Um veículo robô destinado ao transporte de carga, não de pessoas. Eles podem variar de muito pequenos e leves a enormes caminhões prontos para transportar cargas pesadas.",,https://www.dropbox.com/s/62pbhifj3dm24wc/tumblr_n48yreRcoI1qz4fj0o1_1280.jpg?dl=1,ok,ok,,,,,
,Detector Bots,,"Initially designed for preventive maintenance in nuclear reactor tanks, these bots are being used in new applications like a counter-smuggling tool. About the size of a football, each bot have an autonomy of 40 mins and uses ultrasound tech to quickly scour large areas. Continuous improvements are focused on lower production costs, longer battery life and better bot-to-bot coordination. ",,,https://trello-attachments.s3.amazonaws.com/5425e25dc658846909db79e6/948x711/e44ed0db2dfdbd68ff89a118b690bd34/mit-underwater-robot-02.jpg,,,,,,,
,Depth imagining,Imageamento Em Profundidade,Depth (or range) imaging is a collection of techniques used to produce a 2D image showing the distance to points in a scene from a specific point. The resulting image can be used to reproduce a 3D scene on screen.,"Criação de imagens em profundidade é um conjunto de técnicas usadas para produzir uma imagem 2D mostrando a distância de pontos dentro de uma cena, da perspectiva ponto específico. O resultado é uma imagem que pode reproduzir uma cena 3D em uma tela.",,https://www.dropbox.com/s/33y8ifa24dxd2rn/Depth%20Imaging.jpg?dl=1,ok,ok,,,,,
,Desalination,Dessalinização,Convert salt water to fresh water.,Conversão de água salgada em água doce.,,https://www.dropbox.com/s/afxmtgbmnfgesuj/Desalination.jpg?dl=1,ok,ok,,,,,
,Digital bartering systems,Sistemas De Escambo Digitais,"The reputation of an individual or an institution can be easily measured and assessed online. As the network, in the form of social media, provides more opportunities for individual influence through comments, reviews and likes, it provides more context, cause and character for decision-making.","A reputação de um indivíduo ou de uma instituição pode ser facilmente medida online com base em comentários, número de visitações, reviews, respostas e curtidas. Esses componentes podem ser trocados entre indivíduos e grupos para desenvolver uma presença online valiosa.",,https://www.dropbox.com/s/w8u0nb8r02s1qqt/Digital%20Bartering%20Systems.jpg?dl=1,ok,ok,ok,ok,1,,
,Digital currencies,Moedas Digitais,Electronic money that acts as alternative currency. It differs from virtual money used in virtual economies due to its use in transactions with real goods and services.,"Uma alternativa: moedas eletrônicas são trocadas online sem intermediários, bancos centrais, e não são rotuladas por moedas nacionais. Elas diferem de dinheiro virtual em economias online porque são usadas em transações de bens e serviços reais.",,https://www.dropbox.com/s/x8mx6o1jewjhyb7/Digital%20currencies.jpg?dl=1,ok,ok,ok,,1,,
,Digital feedback culture,Cultura De Feedback Digital,￼Micro-communication tools and open feedback channels are helping to foster more constructive communication and reveal workplace sentiment.,Canais de feedback abertos ajudam a promover uma comunicação mais construtiva e a revelar o sentimento e motivação de equipes. Aplicação de modelo lean UX extrapola a atuação de feedback permitindo retorno em tempo real de suas realizações.,,https://www.dropbox.com/s/39qha5cifepp61u/Digital%20Feedback%20Culture.jpg?dl=1,ok,ok,,ok,,,
,Digital identification,Identificação Digital,Data that uniquely describes a person or a thing and contains information about the subject's relationships.,Identifica uma pessoa/coisa e sua relação com um determinado sistema. Tem-se tornado mais rápida e permeável com o uso de sensores biométricos e dispositivos de reconhecimento facial,,https://www.dropbox.com/s/6212gbs7ghtm16m/Digital%20identification.jpg?dl=1,ok,ok,ok,ok,,,
,Digital Literacy,,,,,,,,,ok,,,
,Digital Transaction Management,,"Category of software designed to safely and securely manage document-based transactions digitally. DTM removes friction inherent in processes that involve people, documents, and data inside and beyond the firewall to create faster, easier, more convenient and secure transactions. ",,ok,,,,,,,,ok
,Distributed power generation,"Geradores De Energia Distribuídos
","Generates electricity from many small energy sources instead of large centralized facilities. Centralized power plants oﬀer economies of scale, but waste power during transmission, and are ineﬃcient in rapidly adapting to grid needs.","Produzem eletricidade por meio de pequenas fontes de energia ao invés de uma instalção grande e centralizada. Usinas centralizadas oferecem economia de escala, mas desperdiçam energia durante a transmissão e não se adaptam às necessidades específicas.",,http://d1bb041l1ipbcm.cloudfront.net/user_media/diveimage/UD-Bloom-07-29-2014.jpg,ok,ok,,,,,
,DIY biotechnology,Biotecnologia Diy,"Cheaper sensors and equipments are allowing scientific research to reach outside institutions, creating open source and exponentially growing movement.","Sensores e equipamentos mais baratos estão levando pesquisas ligadas a biotecnologia para fora das instituições científicas, criando um movimento open-source e de rápido crescimento.",,https://www.dropbox.com/s/1jktfi6mixk46n7/DIY%20Biotechnology.jpg?dl=1,ok,ok,,ok,1,,
,DNA data storage,,Has the capability for longevity and is much more compact than current storage systems.,Tem a capacidade de longevidade e é muito mais compacto em relação aos atuais sistemas de armazenagem.,,https://www.dropbox.com/s/h5ba8u7jtzuxxy9/DNA%20digital%20data%20storage.jpg?dl=1,ok,ok,,ok,1,,
,Driverless train,Trens Autônomos,"Autonomous cars may still be a few years away, but driverless trains are already here. They have the possibility of reducing CO2 emissions, raising energy efficiency, and improving reliability.","Carros autônomos estão a alguns anos de distância, mas trens autônomos já estão aqui. Eles tem o potencial de reduzir emissões de CO2, aumentar a eficiência energética e melhorar a confibilidade.",,https://www.dropbox.com/s/uyamn2z2po8vh8z/Driverless%20Trains.jpg?dl=1,ok,ok,,,,,
,Drone delivery,Drone Delivery,Transportation using networks of small unmanned flying vehicles.,Transporte de objetos por meio de redes de pequenos veículos voadores não tripulados.,,https://www.dropbox.com/s/4oy6a1eswbl3qnw/dhl-paketkopter-juist-boden-630.jpg?dl=1,ok,ok,,ok,1,,
,Drug-dispensing contact lens,Lentes Com Medicamentos,Hydrogel lens with a polymer film inside that contains medication and can deliver it to the eye for a month or more.,Lentes hidrogel feitas com um filme de polimetros que contêm medicamentos assim permitindo transmiti-los aos olhos por um mês ou mais.,,https://www.dropbox.com/s/5eqcck0eyw9y25g/Drug-Dispensing%20Lens.jpg?dl=1,ok,ok,,,,,
,Dual-sided Display Devices,,"A combination of traditional smartphone screens and e-ink technology allow users to flip between screens based on different purposes, such as high definition images or readability and battery saving mode. This type of power savings can give up to five-day battery life.  ",,,https://trello-attachments.s3.amazonaws.com/547f423503b6d809e3c00934/475x603/895bf873065db2b8c82605e780a08e7b/phone_london.png,,,,,,,
,Social Video Indexing Platform,,"Enables deep indexing of video content and recognize objects,  people and actions in video footage",,ok,,,,,,,,ok
,Cloud Connectivity,,"Allows customers to rapidly integrate cloud and on-premise applications, database and social sources.",,ok,,,,,,,,ok
,E-textiles,Tecidos Eletrônicos,"Fabrics that enable digital components and electronics to be embedded in them. Electronic textiles are distinct from wearable computing because emphasis is placed on the seamless integration of textiles with electronic elements like microcontrollers, sensors, and actuators. Furthermore, e-textiles need not be wearable such as those found in interior design.","Tecidos com dispositivos digitais acoplados, como sensores e micro controles. Eles se diferem de computação vestível (wearables) porque enfatizam seu posicionamento entre elementos têxteis e eletrônicos.",ok,https://www.dropbox.com/s/r7wazgpvxa66dem/E-textiles.jpg?dl=1,ok,ok,,,,,ok
,EEG brain-to-computer interface,Eeg Interfaces Cérebro-Computadores,"Electroencephalography remains the most feasible practice of executing and implementing brain to brain interfaces. It represents the best temporal-resolution tool for getting a picture of the brain in action, is portable, non-invasive and extremely affordable compared to other methods.","A eletroencefalografia permanece como a maneira mais prática de execução de interfaces cérebro-cérebro, representando a melhor solução para enxergar o cérebro em ação porque é portátil, não invasiva e extremamente viável, economicamente falando, se comparada com outros métodos.
￼￼",,https://www.dropbox.com/s/t35lsp1nk7nmixw/EEG%20Brain-to-computer%20interface.jpg?dl=1,ok,ok,,,,,
,Electric airplanes recharged by drones,,"Drones serving as flying batteries could dock with an electric plane in flight, enabling the first transcontinental electric airplane journey","Drones funcionando como baterias voadoras que poderiam se acoplar com um avião eletrico em pleno vôo, possibilitando o primeiro vôo transcontinental de uma aeronave elétrica.",,https://www.dropbox.com/s/kr39yu608ysfz4k/Electric%20airplanes%20recharged%20by%20drones.jpg?dl=1,ok,,,,,,
,Embodied interfaces,Interfaces Corporificadas,"Based on the principle that the brain evolved to handle one construction of reality, but now can overlay multiple local and remote experiences simultaneously, creating new cognitive perceptions. Biological senses can be enhanced and produced artificially, which adapt and transform to address different kinds of stimuli for specific purposes.","Baseadas no princípio de que o cérebro evolui para uma construção da realidade, podendo sobrepor múltiplas experiências locais e remotas simultaneamente, criando novas percepções cognitivas. Sentidos biológicos podem ser melhorados e produzidos artificialmente, se adaptando e transformando de acordo com o ambiente.",,https://www.dropbox.com/s/i03cc3oulzptk91/Embodied%20Interfaces.jpg?dl=0,ok,ok,,ok,1,,
,Emotion tracking,Rastreador De Emoções,"Uses sensors, computer vision and algorithms to identify likely emotions displayed by individuals in a crowd.","Utiliza sensores, visão eletrônica e algoritmos para identificar emoções prováveis mostradas por indivíduos em uma multidão. Pode ajudar no rastreamento de comportamentos em aeroportos e instalações de alto risco.",,https://trello-attachments.s3.amazonaws.com/5446bc3bba860065a5337f99/470x319/70ba14cda3b2a947f6da38ec1a1790d4/emotiontracking.jpg,ok,ok,,ok,1,,
,Empathic things,Objetos Empáticos,"Devices of all kinds, shapes and sizes – around, on or inside the body – that behave increasingly smarter and link up more and more intuitively with mankind’s extremely personal and natural interface.","Dispositivos de todos os tipos, formas e tamanhos - dentro, fora e envolvendo o corpo - que se comportam de forma cada vez mais inteligente e se ligam de forma mais intuitiva com a interface pessoal e natural humana.",,,ok,ok,,,,,
,Employee stakeholder,Funcionários Stakeholder,￼Flat management organizations are empowering workers to manage their work with greater autonomy and choose how their time may best be spent. ,￼Organizações de administração plana empoderam seus funcionários para organizar seu trabalho com maior autonomia e escolher como seu tempo pode ser melhor gasto. ,,,ok,ok,,,,,
,Encrypted phone,,"The customized encrypted operating system shields user data from outside parties. They also send users precise messages about data requests from smart phone applications, many of which ask for access to locational details, cell phone contacts or other details.",,,http://static.guim.co.uk/sys-images/Guardian/Pix/pictures/2014/3/3/1393856536664/The-Blackphone-014.jpg,,,ok,,,,
,Energy harvesting,Energy Harvesting,"Process by which energy is derived from external sources (e.g. solar power, thermal energy, wind energy, salinity gradients, and kinetic energy), captured, and stored for small, wireless autonomous devices, like those used in wearable electronics and wireless sensor networks.","
Captura energia de fontes externas (ex.: energia solar, térmica, eólica e cinética) e armazena em pequenas “pilhas” para dispositivos wireless, como aqueles usados em wearables e redes de sensores sem fio.",,,ok,ok,,,,,
